time_s,Test_ID,command_pct,rpm,thrust_n,torque_nm,shaft_power_w,voltage_v,current_a,electrical_power_w,motor_temp_c,esc_temp_c,vibration_x_g,vibration_y_g,vibration_z_g,airflow_mps,ambient_temp_c
0.000000,0,0,0.00,0.0867,0.00000,0.00,50.319,1.229,61.86,22.001,22.001,0.001449,0.003202,0.002632,0.010,22.000
0.003906,0,0,0.00,0.0000,0.00442,0.00,50.306,1.157,58.22,22.002,22.001,-0.000034,0.001654,-0.001250,0.055,22.000
0.007813,0,0,0.00,0.0712,0.00522,0.00,50.304,1.281,64.44,22.002,22.002,0.000976,0.006975,-0.001873,0.000,22.000
0.011719,0,0,0.00,0.0000,0.00000,0.00,50.302,1.205,60.63,22.003,22.003,-0.000090,0.001189,0.001485,0.000,22.000
0.015625,0,0,2.81,0.0028,0.00000,0.00,50.277,1.238,62.24,22.004,22.003,0.000828,0.005167,0.002026,0.000,22.000
0.019531,0,0,0.00,0.0962,0.00063,0.00,50.316,1.015,51.06,22.005,22.004,0.000914,0.006899,0.002892,0.026,22.000
0.023438,0,0,1.81,0.0000,0.00114,0.00,50.332,1.158,58.27,22.005,22.005,0.000465,0.004472,0.002625,0.026,22.000
0.027344,0,0,0.31,0.0478,0.00000,0.00,50.295,1.155,58.07,22.006,22.005,0.002400,0.004829,0.002002,0.000,22.000
0.031250,0,0,5.64,0.0000,0.00000,0.00,50.274,1.199,60.27,22.007,22.006,0.003318,0.003856,0.003256,0.041,22.001
0.035156,0,0,2.71,0.0365,0.00000,0.00,50.308,1.212,60.95,22.008,22.007,0.000790,0.004557,0.000612,0.000,22.001
0.039063,0,0,0.00,0.0000,0.00172,0.00,50.300,1.170,58.86,22.008,22.007,0.000362,0.005434,0.003012,0.000,22.001
0.042969,0,0,1.86,0.0356,0.00000,0.00,50.316,1.142,57.45,22.009,22.008,-0.000769,0.006666,-0.000778,0.000,22.001
0.046875,0,0,4.18,0.0000,0.00000,0.00,50.332,1.026,51.62,22.010,22.008,0.000506,0.005901,0.000520,0.077,22.001
0.050781,0,0,3.03,0.0000,0.00000,0.00,50.306,1.215,61.11,22.010,22.009,-0.000413,0.001887,0.000469,0.075,22.001
0.054688,0,0,1.53,0.0363,0.00000,0.00,50.315,1.158,58.29,22.011,22.010,0.000629,0.002720,0.003025,0.000,22.001
0.058594,0,0,1.89,0.0320,0.00000,0.00,50.300,1.163,58.52,22.012,22.010,0.000077,0.003483,0.002013,0.113,22.001
0.062500,0,0,1.29,0.0117,0.00000,0.00,50.306,1.161,58.42,22.013,22.011,0.002473,0.004248,0.000344,0.091,22.001
0.066406,0,0,7.42,0.0000,0.00221,0.00,50.290,1.112,55.90,22.013,22.012,-0.001113,0.006437,0.000648,0.056,22.001
0.070313,0,0,0.04,0.0000,0.00000,0.00,50.312,1.045,52.57,22.014,22.012,0.000125,0.004027,0.000236,0.000,22.001
0.074219,0,0,7.93,0.0000,0.00276,0.00,50.294,1.145,57.59,22.015,22.013,0.003424,0.005493,0.000640,0.003,22.001
0.078125,0,0,0.00,0.0118,0.00448,0.00,50.312,1.254,63.08,22.015,22.013,0.000778,0.003093,0.000753,0.089,22.001
0.082031,0,0,3.86,0.0450,0.00894,0.00,50.291,1.152,57.95,22.016,22.014,0.003300,0.001976,0.003961,0.049,22.001
0.085938,0,0,0.00,0.0193,0.00277,0.00,50.310,1.128,56.77,22.017,22.015,-0.001866,0.001195,0.000638,0.063,22.001
0.089844,0,0,5.44,0.0364,0.00000,0.00,50.306,1.281,64.43,22.018,22.015,0.000705,0.002390,0.004459,0.000,22.001
0.093750,0,0,5.72,0.0026,0.00792,0.00,50.318,1.078,54.23,22.018,22.016,0.005179,0.005318,-0.000183,0.000,22.002
0.097656,0,0,1.85,0.0000,0.00326,0.00,50.299,1.058,53.19,22.019,22.017,-0.000676,0.003334,-0.001305,0.000,22.002
0.101563,0,0,0.00,0.0000,0.00000,0.00,50.293,1.249,62.82,22.020,22.017,-0.001034,0.004794,0.001878,0.018,22.002
