time_s,Test_ID,command_pct,rpm,thrust_n,torque_nm,shaft_power_w,voltage_v,current_a,electrical_power_w,motor_temp_c,esc_temp_c,vibration_x_g,vibration_y_g,vibration_z_g,airflow_mps,ambient_temp_c
0.000000,0,0,1.86,0.0417,0.00245,0.00,50.314,1.149,57.81,23.401,23.401,0.000836,0.000745,0.001281,0.000,23.400
0.003906,0,0,0.20,0.0294,0.00000,0.00,50.325,1.032,51.95,23.401,23.401,0.004667,0.005481,0.002006,0.029,23.400
0.007813,0,0,0.00,0.0000,0.00139,0.00,50.330,1.062,53.45,23.402,23.402,0.000635,-0.000377,-0.000094,0.000,23.400
0.011719,0,0,0.00,0.0682,0.00049,0.00,50.297,1.098,55.21,23.403,23.402,0.003717,0.003809,0.000457,0.010,23.400
0.015625,0,0,3.74,0.0000,0.00000,0.00,50.319,1.134,57.06,23.403,23.403,-0.000818,0.003071,0.002983,0.000,23.400
0.019531,0,0,0.00,0.1078,0.00338,0.00,50.284,1.179,59.30,23.404,23.404,-0.002223,0.002370,0.000789,0.005,23.400
0.023438,0,0,0.00,0.0298,0.00000,0.00,50.290,1.228,61.75,23.405,23.404,0.000251,0.003755,0.002278,0.132,23.400
0.027344,0,0,4.61,0.0353,0.00350,0.00,50.292,1.131,56.86,23.406,23.405,0.001857,0.004032,0.000966,0.007,23.400
0.031250,0,0,0.00,0.0343,0.00000,0.00,50.300,1.272,63.99,23.407,23.406,-0.000381,0.004251,-0.000532,0.000,23.401
0.035156,0,0,1.23,0.0061,0.00880,0.00,50.301,1.078,54.24,23.407,23.406,-0.001751,0.004458,0.002286,0.000,23.401
0.039063,0,0,0.14,0.0134,0.00000,0.00,50.306,1.157,58.21,23.408,23.407,0.000977,0.004332,0.003615,0.000,23.401
0.042969,0,0,5.72,0.0000,0.00000,0.00,50.276,1.179,59.28,23.409,23.408,0.002536,0.005224,0.001531,0.107,23.401
0.046875,0,0,1.35,0.0806,0.00000,0.00,50.345,1.095,55.11,23.409,23.408,0.003305,0.005228,0.001451,0.000,23.401
0.050781,0,0,0.00,0.0399,0.00000,0.00,50.316,1.101,55.38,23.410,23.409,0.002228,0.004661,-0.000343,0.031,23.401
0.054688,0,0,0.00,0.0000,0.00679,0.00,50.300,1.216,61.16,23.411,23.409,0.002487,0.003907,0.002219,0.029,23.401
0.058594,0,0,2.55,0.0000,0.00000,0.00,50.285,1.193,60.01,23.412,23.410,0.000654,0.007166,0.002281,0.000,23.401
0.062500,0,0,0.00,0.0000,0.00000,0.00,50.288,1.184,59.54,23.412,23.411,0.001965,0.002300,-0.000432,0.023,23.401
0.066406,0,0,0.00,0.0168,0.00121,0.00,50.300,1.155,58.09,23.413,23.411,0.001155,0.003007,0.004470,0.085,23.401
0.070313,0,0,2.44,0.0000,0.00249,0.00,50.312,1.153,58.01,23.414,23.412,0.000383,0.005524,0.002623,0.096,23.401
0.074219,0,0,0.00,0.0542,0.00883,0.00,50.282,1.093,54.94,23.414,23.413,0.002767,0.000897,0.003248,0.017,23.401
0.078125,0,0,0.00,0.0390,0.00000,0.00,50.313,1.179,59.30,23.415,23.413,-0.001348,0.002591,0.002187,0.000,23.401
0.082031,0,0,0.00,0.0000,0.00084,0.00,50.314,1.133,57.02,23.416,23.414,-0.000865,0.002278,0.000888,0.000,23.401
0.085938,0,0,0.00,0.0209,0.00000,0.00,50.314,1.053,52.97,23.417,23.414,0.002033,0.005021,0.003310,0.096,23.401
0.089844,0,0,0.00,0.0234,0.00620,0.00,50.294,1.290,64.87,23.417,23.415,-0.002582,0.003028,0.001863,0.000,23.401
0.093750,0,0,2.38,0.0000,0.00754,0.00,50.302,1.175,59.12,23.418,23.416,0.002524,0.000597,0.001932,0.098,23.402
0.097656,0,0,3.87,0.0000,0.00000,0.00,50.320,1.143,57.52,23.419,23.416,0.002072,0.003092,-0.000602,0.000,23.402
0.101563,0,0,0.00,0.0000,0.00000,0.00,50.316,1.095,55.08,23.420,23.417,0.000935,0.005895,0.004065,0.000,23.402
0.105469,0,0,0.00,0.0000,0.00000,0.00,50.292,1.220,61.35,23.420,23.418,0.006185,0.004579,0.001670,0.057,23.402
0.109375,0,0,3.16,0.0000,0.00066,0.00,50.290,1.082,54.43,23.421,23.418,0.001012,0.003854,0.001953,0.144,23.402
0.113281,0,0,1.41,0.0000,0.00000,0.00,50.291,1.158,58.25,23.422,23.419,0.002788,0.004715,0.002297,0.006,23.402
0.117188,0,0,5.64,0.0729,0.00000,0.00,50.308,1.162,58.47,23.422,23.419,0.004162,0.005521,0.002920,0.000,23.402
0.121094,0,0,0.36,0.0000,0.00000,0.00,50.264,1.303,65.48,23.423,23.420,-0.000111,0.001543,0.001120,0.029,23.402
0.125000,0,0,3.53,0.0169,0.00659,0.00,50.312,1.185,59.60,23.424,23.421,-0.001174,0.007126,0.000318,0.004,23.402
0.128906,0,0,0.00,0.0692,0.00641,0.00,50.301,1.164,58.56,23.425,23.421,-0.000513,0.003864,0.001651,0.000,23.402
0.132813,0,0,0.00,0.0874,0.00363,0.00,50.315,1.260,63.39,23.425,23.422,-0.001449,0.005126,0.002040,0.075,23.402
