TIME,Run_ID,command_pct,rpm,thrust_n,torque_nm,vibration_g
not-recorded,0,0,0.15,0.0000,0.00000,0.000934
not-recorded,0,0,0.00,0.0000,0.00056,0.000114
not-recorded,0,0,0.74,0.0091,0.00000,-0.000717
not-recorded,0,0,3.37,0.0000,0.00000,-0.000377
not-recorded,0,0,0.44,0.0308,0.00501,-0.002689
not-recorded,0,0,3.51,0.0000,0.00259,0.000116
not-recorded,0,0,0.35,0.0000,0.00335,-0.000763
not-recorded,0,0,0.19,0.0052,0.00000,-0.001208
not-recorded,0,0,0.00,0.0252,0.00000,-0.002224
not-recorded,0,0,0.72,0.0211,0.00148,0.000402
not-recorded,0,0,0.00,0.0000,0.00000,0.001044
not-recorded,0,0,0.00,0.0000,0.00000,-0.000504
not-recorded,0,0,0.00,0.0000,0.00260,0.000422
not-recorded,0,0,0.39,0.0108,0.00000,-0.000694
not-recorded,0,0,1.22,0.0000,0.00601,-0.000558
not-recorded,0,0,0.00,0.0163,0.00000,-0.000552
not-recorded,0,0,0.00,0.0000,0.00000,0.000946
not-recorded,0,0,3.76,0.0000,0.00054,-0.001250
not-recorded,0,0,1.44,0.0848,0.00000,0.001864
not-recorded,0,0,0.00,0.0000,0.00791,-0.000024
not-recorded,0,0,0.58,0.0000,0.00378,0.000310
not-recorded,0,0,1.64,0.0014,0.00543,-0.000634
not-recorded,0,0,3.20,0.0471,0.00278,-0.000957
not-recorded,0,0,5.51,0.0000,0.00878,0.001176
not-recorded,0,0,2.33,0.0000,0.00000,0.000113
not-recorded,0,0,0.00,0.0368,0.00000,-0.000837
not-recorded,0,0,0.00,0.0000,0.00000,0.000213
not-recorded,0,0,0.13,0.0047,0.00000,-0.000608
not-recorded,0,0,0.00,0.0215,0.00000,-0.000811
not-recorded,0,0,1.17,0.0138,0.00472,-0.002004
not-recorded,0,0,0.35,0.0000,0.00000,0.002633
not-recorded,0,0,1.56,0.0400,0.00000,-0.000003
