TIME;Battery_Volt_L;Battery_Current_L;RPM_L;Motor_Temp_L;ESC_Temp_Main_L;LHM_Fx;LHM_Mz;LHM_VIBO1x;LHM_VIBO1y;Test_ID;Note_Text
12:34,5;49,9971;1,1308;3;31,002;30,002;0,04032;0,004733;0,002672;0,000788;0;idle
12:34,5;50,0010;1,1413;4;31,004;30,004;0,00000;0,000900;0,000963;-0,001049;0;idle
12:34,5;50,0240;1,1503;0;31,006;30,005;0,00000;0,000000;0,000397;0,000022;0;idle
12:34,5;50,0009;1,1693;2;31,009;30,007;0,08797;0,000883;-0,002247;-0,001544;0;idle
12:34,5;50,0169;1,0021;2;31,010;30,009;0,04814;0,004198;0,003313;0,002595;0;idle
12:34,6;50,0216;1,1109;1;31,012;30,011;0,00000;0,000000;0,002067;0,001360;0;idle
12:34,6;50,0175;1,0494;0;31,014;30,012;0,01376;0,001597;0,001284;-0,001462;0;idle
12:34,6;50,0258;1,0751;0;31,016;30,014;0,00000;0,006325;-0,000138;0,001378;0;idle
12:34,6;50,0139;1,2236;2;31,019;30,016;0,00000;0,000000;0,000187;0,000138;0;idle
12:34,6;50,0486;0,9362;0;31,020;30,017;0,05102;0,001920;0,000181;-0,001111;0;idle
12:34,6;50,0089;1,0883;2;31,022;30,019;0,02863;0,000930;0,001884;0,002602;0;idle
12:34,6;50,0310;1,0833;0;31,024;30,021;0,03658;0,000000;0,001144;0,000590;0;idle
12:34,6;50,0167;1,0118;1;31,026;30,022;0,04532;0,000000;0,000014;-0,000025;0;idle
12:34,6;50,0008;1,2077;2;31,028;30,024;0,02127;0,005283;0,000729;0,000375;0;idle
12:34,6;50,0126;1,0504;5;31,030;30,026;0,02782;0,003757;0,001916;0,001996;0;idle
12:34,7;50,0362;1,0350;1;31,032;30,027;0,00000;0,002295;-0,001189;-0,000951;0;idle
12:34,7;50,0085;1,1143;0;31,034;30,029;0,07358;0,001651;0,000625;0,000765;0;idle
12:34,7;50,0269;1,0665;1;31,036;30,031;0,00000;0,001069;0,002515;0,002562;0;idle
12:34,7;50,0064;1,1242;1;31,038;30,032;0,02367;0,000000;0,001354;0,003046;0;idle
12:34,7;50,0213;1,1499;3;31,040;30,034;0,00000;0,000000;-0,000112;-0,001361;0;idle
12:34,7;50,0404;1,1057;0;31,042;30,036;0,11861;0,011037;-0,002052;-0,002196;0;idle
12:34,7;50,0270;1,1005;0;31,044;30,037;0,00000;0,000000;-0,001414;-0,001481;0;idle
12:34,7;50,0389;1,0625;2;31,046;30,039;0,04521;0,005058;0,000606;0,002071;0;idle
12:34,7;50,0108;1,1690;1;31,048;30,041;0,00000;0,007026;-0,000717;0,000697;0;idle
12:34,7;50,0178;1,0448;0;31,050;30,042;0,00000;0,007442;0,000696;-0,000450;0;idle
12:34,8;49,9970;1,0795;2;31,052;30,044;0,00000;0,000000;-0,001601;-0,003118;0;idle
12:34,8;50,0276;1,0858;0;31,054;30,046;0,00000;0,008604;0,002503;0,000854;0;idle
12:34,8;50,0029;1,0748;0;31,056;30,047;0,00000;0,003785;0,000485;0,000958;0;idle
12:34,8;50,0060;1,1941;4;31,058;30,049;0,00000;0,001689;-0,000698;0,000343;0;idle
12:34,8;50,0043;1,1864;4;31,060;30,051;0,00000;0,006127;0,000783;-0,000200;0;idle
12:34,8;50,0282;1,0264;0;31,062;30,052;0,02415;0,002722;0,001332;-0,001220;0;idle
12:34,8;50,0363;0,9930;0;31,064;30,054;0,00000;0,002649;-0,000065;0,000387;0;idle
12:34,8;50,0158;1,1199;2;31,066;30,055;0,00000;0,000000;0,001055;0,000180;0;idle
12:34,8;50,0079;1,1315;0;31,068;30,057;0,00000;0,001073;-0,000156;-0,000675;0;idle
12:34,8;50,0303;1,2116;4;31,070;30,059;0,01348;0,006735;-0,001278;-0,002454;0;idle
12:34,9;50,0099;1,1154;3;31,072;30,060;0,04631;0,005727;0,003158;0,003973;0;idle
12:34,9;50,0271;0,9846;0;31,074;30,062;0,00000;0,003728;-0,000096;0,001458;0;idle
12:34,9;50,0146;1,1625;0;31,076;30,064;0,00783;0,000354;0,001375;0,000856;0;idle
12:34,9;50,0330;1,0248;0;31,077;30,065;0,03047;0,000000;-0,000184;0,001889;0;idle
12:34,9;50,0097;1,1093;0;31,079;30,067;0,04279;0,005642;-0,000024;0,000126;0;idle
12:34,9;50,0120;1,1066;1;31,081;30,068;0,00000;0,010057;0,002404;0,001560;0;idle
12:34,9;50,0198;1,1674;0;31,083;30,070;0,02422;0,000000;-0,001433;-0,000553;0;idle
12:34,9;50,0300;1,0385;0;31,085;30,071;0,02999;0,000786;0,001113;0,001798;0;idle
12:34,9;50,0197;1,1451;0;31,087;30,073;0,00000;0,006721;0,000883;-0,000073;0;idle
12:34,9;50,0057;1,1808;0;31,089;30,075;0,00000;0,000000;0,001107;-0,000160;0;idle
12:35,0;49,9989;1,1601;2;31,091;30,076;0,00000;0,000000;0,000604;0,001785;0;idle
12:35,0;50,0282;1,1635;0;31,093;30,078;0,00349;0,000000;0,000523;0,001167;0;idle
12:35,0;50,0302;1,1459;0;31,095;30,080;0,02609;0,000000;0,001254;0,002678;0;idle
12:35,0;49,9912;1,1148;1;31,097;30,081;0,00000;0,000000;0,000660;0,000120;0;idle
12:35,0;50,0203;1,0528;0;31,099;30,083;0,04343;0,000000;0,001931;0,000143;0;idle
12:35,0;50,0116;1,0520;0;31,101;30,084;0,00000;0,000000;0,000576;-0,000100;0;idle
12:35,0;50,0238;1,1592;0;31,103;30,086;0,00000;0,001242;-0,000499;-0,001981;0;idle
12:35,0;50,0073;1,1505;0;31,105;30,088;0,02690;0,000000;-0,002554;-0,001170;0;idle
12:35,0;50,0103;1,0900;0;31,107;30,089;0,01593;0,004696;-0,002078;-0,002417;0;idle
12:35,0;50,0286;1,1119;3;31,109;30,091;0,02110;0,002453;0,000386;0,000076;0;idle
12:35,1;49,9903;1,1948;3;31,111;30,092;0,00000;0,000963;0,003451;0,002512;0;idle
12:35,1;50,0168;1,0480;0;31,112;30,094;0,00000;0,000000;-0,001544;-0,002377;0;idle
12:35,1;50,0318;1,1591;0;31,114;30,096;0,00000;0,000000;0,000397;0,000393;0;idle
12:35,1;50,0249;1,0497;1;31,116;30,097;0,00000;0,005209;0,000086;0,002958;0;idle
12:35,1;50,0088;1,0604;2;31,118;30,098;0,00000;0,000000;0,001901;0,003035;0;idle
12:35,1;50,0102;1,0777;0;31,120;30,100;0,00000;0,000000;0,002690;0,002723;0;idle
12:35,1;49,9961;1,1535;1;31,122;30,102;0,00000;0,001543;0,001122;0,001501;0;idle
12:35,1;50,0285;1,0357;0;31,123;30,103;0,03273;0,000000;-0,001094;-0,000946;0;idle
12:35,1;49,9948;1,1050;2;31,125;30,104;0,10574;0,000000;0,001065;0,001487;0;idle
12:35,1;50,0039;1,1744;2;31,127;30,106;0,04981;0,000000;0,001015;-0,001168;0;idle
12:35,2;50,0319;1,1181;0;31,129;30,108;0,00000;0,000000;-0,000385;0,000080;0;idle
12:35,2;50,0183;1,2229;1;31,131;30,109;0,06488;0,007035;0,001888;-0,000839;0;idle
12:35,2;50,0086;1,1049;1;31,133;30,111;0,00127;0,002549;0,001355;0,003164;0;idle
12:35,2;50,0030;1,1494;0;31,135;30,112;0,08469;0,000000;0,003515;0,003038;0;idle
12:35,2;50,0196;1,0466;0;31,137;30,114;0,03273;0,000000;-0,001182;-0,000674;0;idle
12:35,2;50,0032;1,1576;1;31,139;30,115;0,00000;0,000000;-0,001853;-0,001408;0;idle
12:35,2;50,0347;1,0919;0;31,140;30,117;0,00000;0,000000;-0,001753;-0,001180;0;idle
12:35,2;50,0066;1,0842;4;31,142;30,118;0,00690;0,000000;0,000093;-0,000217;0;idle
12:35,2;50,0303;1,0482;4;31,144;30,120;0,00000;0,004022;0,002316;0,001484;0;idle
12:35,2;50,0177;1,1112;0;31,146;30,121;0,01563;0,000000;-0,001756;-0,000951;0;idle
12:35,3;50,0287;1,1309;0;31,148;30,123;0,00000;0,005567;0,000486;0,000417;0;idle
12:35,3;50,0209;1,1432;3;31,150;30,124;0,01004;0,005954;-0,000348;0,000672;0;idle
12:35,3;49,9960;1,1629;1;31,151;30,126;0,00000;0,004042;0,000434;-0,002030;0;idle
12:35,3;50,0269;1,0664;3;31,153;30,127;0,01836;0,000000;0,002135;0,001234;0;idle
12:35,3;50,0102;1,1019;1;31,155;30,129;0,00000;0,000000;0,000752;0,000582;0;idle
12:35,3;50,0217;1,1039;1;31,157;30,130;0,02708;0,001963;0,000666;0,000561;0;idle
12:35,3;50,0229;1,0120;0;31,158;30,132;0,02450;0,002077;-0,000125;0,001051;0;idle
12:35,3;50,0320;1,0668;2;31,160;30,133;0,03154;0,000000;0,001461;0,001283;0;idle
12:35,3;50,0122;1,1361;1;31,162;30,134;0,02046;0,003426;0,004135;0,003165;0;idle
12:35,3;50,0284;1,1280;0;31,164;30,136;0,00000;0,000000;-0,002008;-0,001215;0;idle
12:35,4;50,0132;1,0588;0;31,166;30,137;0,00000;0,000811;-0,001004;-0,001800;0;idle
12:35,4;50,0166;1,0345;4;31,167;30,139;0,00000;0,000000;0,002374;0,003650;0;idle
12:35,4;50,0305;1,1120;0;31,169;30,140;0,10341;0,000000;0,000380;0,000636;0;idle
12:35,4;50,0352;1,0215;4;31,171;30,141;0,00600;0,000000;0,000805;0,001745;0;idle
12:35,4;50,0340;1,0267;0;31,172;30,143;0,00000;0,004950;0,002121;0,002307;0;idle
12:35,4;50,0219;1,0770;5;31,174;30,144;0,00000;0,003387;0,001835;0,000442;0;idle
12:35,4;50,0308;1,1304;2;31,176;30,146;0,05339;0,000000;0,000600;-0,000444;0;idle
12:35,4;50,0253;1,1525;3;31,178;30,147;0,08441;0,000000;0,002465;0,001671;0;idle
12:35,4;50,0341;1,1062;1;31,179;30,149;0,00000;0,005253;0,000961;0,000970;0;idle
12:35,4;50,0225;1,1005;0;31,181;30,150;0,00000;0,001068;0,001957;-0,000493;0;idle
12:35,5;50,0184;1,1314;4;31,183;30,151;0,02530;0,002715;0,000716;0,001094;0;idle
12:35,5;50,0340;1,1798;1;31,185;30,153;0,00000;0,004269;-0,002023;-0,001211;0;idle
12:35,5;49,9905;1,0878;0;31,187;30,154;0,04601;0,001273;-0,002124;-0,000810;0;idle
12:35,5;50,0250;1,0878;0;31,188;30,156;0,00000;0,000000;0,000377;0,000184;0;idle
12:35,5;50,0140;1,0729;0;31,190;30,157;0,00000;0,010467;0,000971;0,000195;0;idle
12:35,5;50,0321;1,1730;0;31,192;30,159;0,03660;0,000000;-0,000897;-0,002531;0;idle
12:35,5;50,0202;1,0989;0;31,194;30,160;0,00972;0,010589;0,000619;0,000092;0;idle
12:35,5;50,0166;1,1766;1;31,195;30,161;0,00000;0,006157;-0,001101;-0,002761;0;idle
12:35,5;49,9879;1,0371;0;31,197;30,163;0,00708;0,000000;-0,000228;0,000004;0;idle
12:35,5;50,0106;1,1580;3;31,199;30,164;0,01526;0,000000;-0,000906;-0,001644;0;idle
12:35,6;50,0351;1,1317;0;31,201;30,166;0,07330;0,002083;0,000743;0,001305;0;idle
12:35,6;50,0502;0,9602;0;31,202;30,167;0,05433;0,000000;-0,000876;-0,001700;0;idle
12:35,6;50,0274;1,1933;2;31,204;30,168;0,00623;0,003138;0,002639;0,001445;0;idle
12:35,6;50,0177;1,1136;4;31,206;30,170;0,01320;0,001965;0,001782;0,000329;0;idle
12:35,6;50,0072;1,0839;0;31,207;30,171;0,00000;0,004683;0,002816;0,002969;0;idle
12:35,6;50,0351;1,1251;0;31,209;30,173;0,01075;0,003975;0,001461;-0,000084;0;idle
12:35,6;50,0083;1,1516;3;31,211;30,174;0,01138;0,000000;0,001798;0,002429;0;idle
12:35,6;50,0272;0,9812;1;31,212;30,175;0,00000;0,000000;0,002327;0,001638;0;idle
12:35,6;50,0298;1,1626;0;31,214;30,177;0,00000;0,000000;0,000995;0,000432;0;idle
12:35,6;50,0380;0,9909;0;31,216;30,178;0,00478;0,000000;-0,000272;-0,001438;0;idle
12:35,7;50,0102;1,1738;3;31,218;30,179;0,08635;0,000000;0,001691;0,001956;0;idle
12:35,7;50,0053;1,0987;0;31,219;30,181;0,08167;0,004692;0,000747;0,001312;0;idle
12:35,7;50,0108;1,0652;0;31,221;30,182;0,00000;0,000000;0,000656;-0,000876;0;idle
12:35,7;49,9985;1,1455;1;31,223;30,183;0,03463;0,002698;-0,001107;0,000276;0;idle
12:35,7;50,0186;1,1349;0;31,224;30,185;0,01991;0,000000;-0,000207;0,000259;0;idle
12:35,7;50,0199;1,1642;0;31,226;30,186;0,00000;0,000183;0,003150;0,004135;0;idle
12:35,7;50,0171;1,0614;0;31,228;30,187;0,02930;0,000000;0,001103;0,001897;0;idle
12:35,7;50,0041;1,0711;0;31,229;30,189;0,00000;0,000000;-0,000868;-0,001611;0;idle
12:35,7;50,0133;1,1105;2;31,231;30,190;0,00000;0,000000;-0,000795;0,000178;0;idle
12:35,7;50,0059;1,0836;0;31,233;30,191;0,00000;0,006810;0,000327;-0,000065;0;idle
12:35,8;50,0036;1,1765;3;31,234;30,193;0,00348;0,000000;0,000765;-0,001064;0;idle
12:35,8;50,0254;1,1728;1;31,236;30,194;0,00000;0,000000;0,000287;0,000784;0;idle
12:35,8;49,9958;1,1573;4;31,238;30,196;0,00000;0,000000;-0,000342;-0,000198;0;idle
12:35,8;50,0038;1,1298;1;31,240;30,197;0,00000;0,000000;0,001784;0,003748;0;idle
12:35,8;50,0131;1,0644;0;31,241;30,198;0,00000;0,000932;-0,002596;-0,002330;0;idle
12:35,8;50,0137;1,1903;2;31,243;30,200;0,04992;0,000000;0,001234;0,001334;0;idle
12:35,8;50,0040;1,0552;1;31,245;30,201;0,00150;0,007954;0,002420;0,001296;0;idle
12:35,8;50,0119;1,1012;2;31,246;30,202;0,01385;0,000000;0,001347;0,001171;0;idle
12:35,8;50,0075;1,1418;4;31,248;30,204;0,00000;0,000000;0,001500;0,000110;0;idle
12:35,8;50,0128;1,1617;3;31,250;30,205;0,01053;0,004887;0,001447;0,001075;0;idle
12:35,9;50,0186;1,1717;0;31,252;30,206;0,00848;0,000000;-0,001244;-0,000503;0;idle
12:35,9;50,0321;1,1388;0;31,253;30,208;0,00000;0,002435;-0,001131;-0,000630;0;idle
12:35,9;50,0178;1,0779;0;31,255;30,209;0,00000;0,008185;0,001768;0,001641;0;idle
12:35,9;50,0165;1,0517;4;31,256;30,210;0,00000;0,002720;-0,000487;-0,000509;0;idle
12:35,9;50,0065;1,1021;0;31,258;30,211;0,00953;0,004917;0,002190;0,002515;0;idle
12:35,9;50,0210;1,0249;0;31,260;30,213;0,01481;0,001480;0,001389;0,000818;0;idle
12:35,9;50,0193;1,1678;2;31,261;30,214;0,00000;0,000000;0,002484;0,001456;0;idle
12:35,9;50,0023;1,1574;1;31,263;30,215;0,00042;0,001802;0,001545;0,002719;0;idle
12:35,9;50,0288;1,1124;5;31,265;30,217;0,00000;0,006161;0,001637;0,000579;0;idle
12:35,9;50,0322;1,0483;0;31,266;30,218;0,00000;0,000612;0,001143;-0,000098;0;idle
12:36,0;50,0380;1,0894;3;31,268;30,219;0,05639;0,000000;0,001726;0,000809;0;idle
12:36,0;50,0169;1,1079;0;31,269;30,220;0,00000;0,005599;0,001222;0,001431;0;idle
12:36,0;49,9951;1,1408;1;31,271;30,222;0,05511;0,000000;0,001009;0,003191;0;idle
12:36,0;50,0318;1,1584;0;31,273;30,223;0,02112;0,000933;-0,002160;-0,004002;0;idle
12:36,0;50,0205;1,2196;0;31,275;30,224;0,00000;0,000000;0,001156;0,000777;0;idle
12:36,0;50,0106;1,0952;1;31,276;30,226;0,02988;0,005942;0,000936;-0,002532;0;idle
12:36,0;50,0224;1,1344;0;31,278;30,227;0,00000;0,007530;0,000499;0,002633;0;idle
12:36,0;50,0218;1,0806;0;31,279;30,228;0,00000;0,000000;0,001054;0,000773;0;idle
12:36,0;50,0273;1,1870;0;31,281;30,230;0,00000;0,000000;0,000265;-0,000774;0;idle
12:36,0;50,0133;1,0771;0;31,283;30,231;0,00000;0,006963;-0,000102;-0,001164;0;idle
12:36,1;50,0311;1,1159;0;31,284;30,232;0,03183;0,000000;-0,000866;-0,000470;0;idle
12:36,1;50,0305;1,0533;0;31,286;30,233;0,00000;0,003525;-0,000289;0,000990;0;idle
12:36,1;50,0041;1,0947;0;31,287;30,234;0,00000;0,000000;0,001752;0,000592;0;idle
12:36,1;50,0094;1,0780;0;31,289;30,236;0,01211;0,001225;0,000548;0,001352;0;idle
12:36,1;50,0155;0,9547;0;31,290;30,237;0,01263;0,003116;-0,000614;0,000200;0;idle
12:36,1;50,0211;1,0734;0;31,292;30,238;0,00019;0,000812;-0,000824;-0,003095;0;idle
12:36,1;50,0394;1,1678;1;31,293;30,239;0,00000;0,000470;-0,000126;0,000334;0;idle
12:36,1;50,0034;1,0227;0;31,295;30,240;0,00000;0,005202;0,000800;0,000599;0;idle
12:36,1;50,0087;1,1068;5;31,296;30,241;0,02578;0,000000;0,002854;0,000768;0;idle
12:36,1;50,0117;1,0938;0;31,298;30,243;0,00000;0,000000;0,000499;0,000297;0;idle
12:36,2;50,0206;1,0735;0;31,299;30,244;0,00128;0,000000;0,000734;0,001551;0;idle
12:36,2;50,0228;1,0393;3;31,301;30,245;0,07783;0,000000;0,002100;0,001424;0;idle
12:36,2;50,0094;1,1556;0;31,302;30,246;0,00000;0,000000;0,003598;0,003376;0;idle
12:36,2;50,0200;1,0815;1;31,304;30,247;0,02939;0,004839;0,001967;0,001342;0;idle
12:36,2;50,0008;1,1859;0;31,306;30,249;0,00495;0,000489;0,001495;0,003151;0;idle
12:36,2;50,0270;1,0475;3;31,307;30,250;0,00000;0,000482;0,006177;0,005792;0;idle
12:36,2;50,0037;1,0757;0;31,309;30,251;0,00000;0,000000;0,000239;-0,000542;0;idle
12:36,2;50,0077;1,1832;0;31,310;30,252;0,05718;0,006659;-0,001946;-0,000455;0;idle
12:36,2;50,0209;1,0687;2;31,312;30,253;0,03701;0,004230;0,002693;0,000719;0;idle
12:36,2;50,0247;1,1071;2;31,313;30,255;0,00000;0,000000;0,000221;-0,002171;0;idle
12:36,3;50,0075;1,0374;0;31,315;30,256;0,04703;0,000000;0,000485;0,000361;0;idle
12:36,3;50,0144;1,0280;2;31,316;30,257;0,01158;0,000000;-0,000008;0,000417;0;idle
12:36,3;50,0228;1,1412;0;31,318;30,258;0,00637;0,006561;-0,002637;-0,004227;0;idle
12:36,3;50,0246;1,0747;1;31,319;30,259;0,05616;0,000000;0,002893;0,003158;0;idle
12:36,3;50,0192;1,1314;2;31,321;30,260;0,00000;0,000000;0,001329;0,000353;0;idle
12:36,3;49,9955;1,1075;2;31,322;30,262;0,04622;0,000000;0,001990;0,002445;0;idle
12:36,3;50,0265;1,0883;3;31,324;30,263;0,00000;0,000000;0,001249;0,002363;0;idle
12:36,3;50,0017;1,1944;0;31,325;30,264;0,01427;0,003885;0,002209;0,000517;0;idle
12:36,3;50,0390;1,0444;3;31,327;30,265;0,03334;0,000000;0,002612;0,002772;0;idle
12:36,3;50,0294;1,0210;1;31,328;30,266;0,00000;0,000000;0,003740;0,000836;0;idle
12:36,4;50,0276;1,0125;1;31,329;30,267;0,00000;0,000000;0,001791;0,003016;0;idle
12:36,4;50,0193;1,1249;0;31,331;30,268;0,00000;0,007785;-0,000785;0,000507;0;idle
12:36,4;50,0046;1,0786;0;31,332;30,269;0,04872;0,006746;0,000435;0,000148;0;idle
12:36,4;50,0181;1,0716;3;31,334;30,271;0,00000;0,000000;-0,000486;0,000519;0;idle
12:36,4;50,0139;1,0794;0;31,335;30,272;0,00000;0,000000;-0,002074;-0,001039;0;idle
12:36,4;50,0061;1,0615;0;31,337;30,273;0,01542;0,000000;-0,002550;-0,002722;0;idle
12:36,4;50,0180;1,1489;0;31,338;30,274;0,02439;0,001783;-0,002513;-0,003854;0;idle
12:36,4;50,0261;1,1103;0;31,340;30,275;0,00000;0,000000;0,000830;0,001223;0;idle
12:36,4;49,9908;1,1663;2;31,341;30,276;0,01689;0,006876;0,001677;0,000208;0;idle
12:36,4;50,0322;1,1733;3;31,343;30,278;0,00000;0,000000;0,001670;-0,000215;0;idle
12:36,5;50,0077;1,1554;3;31,345;30,279;0,00000;0,005427;0,002322;0,002508;0;idle
12:36,5;49,9923;1,1805;0;31,346;30,280;0,00000;0,000000;0,001608;0,003599;0;idle
12:36,5;50,0374;1,0163;0;31,348;30,281;0,04307;0,004210;-0,001998;-0,002079;0;idle
12:36,5;50,0366;1,0454;0;31,349;30,282;0,00000;0,002476;-0,000640;-0,000215;0;idle
12:36,5;49,9932;1,1313;1;31,350;30,283;0,07548;0,004688;0,002038;0,000546;0;idle
12:36,5;50,0293;1,0777;43;31,352;30,284;0,00000;0,002246;0,000521;0,001646;1;run_1
12:36,5;50,0367;1,1196;90;31,353;30,286;0,00000;0,007432;0,000341;-0,000219;1;run_1
12:36,5;50,0224;1,2502;131;31,355;30,287;0,02726;0,005768;0,001173;-0,000443;1;run_1
12:36,5;49,9821;1,3890;171;31,357;30,288;0,09867;0,003191;-0,007309;-0,006763;1;run_1
12:36,5;50,0152;1,3512;212;31,359;30,290;0,00000;0,001008;0,008933;0,007679;1;run_1
12:36,6;50,0060;1,4073;256;31,361;30,292;0,02147;0,010129;-0,006720;-0,007298;1;run_1
12:36,6;50,0062;1,3909;293;31,363;30,293;0,11678;0,002776;0,001893;0,003145;1;run_1
12:36,6;49,9911;1,4909;327;31,365;30,295;0,08794;0,006689;0,010714;0,007980;1;run_1
12:36,6;49,9784;1,5830;363;31,368;30,297;0,09466;0,000000;-0,005512;-0,006424;1;run_1
12:36,6;50,0159;1,5615;396;31,370;30,299;0,18670;0,005274;-0,006326;-0,004957;1;run_1
12:36,6;49,9867;1,5842;436;31,372;30,300;0,18745;0,016519;0,010426;0,008056;1;run_1
12:36,6;49,9720;1,6422;468;31,375;30,302;0,16333;0,010679;0,004480;0,006111;1;run_1
12:36,6;49,9860;1,7562;495;31,377;30,304;0,26930;0,015593;-0,000907;-0,000262;1;run_1
12:36,6;49,9720;1,7248;534;31,380;30,306;0,28732;0,007790;-0,000525;-0,000074;1;run_1
12:36,6;49,9809;1,8293;563;31,383;30,309;0,29345;0,014291;0,004561;0,002746;1;run_1
12:36,7;49,9556;1,8601;595;31,385;30,311;0,39500;0,019956;0,007801;0,004566;1;run_1
12:36,7;49,9494;1,9398;623;31,388;30,313;0,36934;0,017075;0,004626;0,004941;1;run_1
12:36,7;49,9498;1,8833;652;31,391;30,316;0,43024;0,019672;-0,002076;-0,001401;1;run_1
12:36,7;49,9522;2,0360;679;31,394;30,318;0,50562;0,013019;-0,010686;-0,009125;1;run_1
12:36,7;49,9253;2,1303;706;31,398;30,321;0,51151;0,017841;-0,008666;-0,006819;1;run_1
12:36,7;49,9420;2,1055;739;31,401;30,323;0,48093;0,018842;0,007063;0,005986;1;run_1
12:36,7;49,9319;2,2118;759;31,404;30,326;0,60594;0,021013;-0,001246;-0,000479;1;run_1
12:36,7;49,9512;2,1715;786;31,408;30,329;0,59866;0,035134;0,005053;0,002805;1;run_1
12:36,7;49,9656;2,2454;810;31,411;30,332;0,76871;0,030773;0,009395;0,006951;1;run_1
12:36,7;49,9472;2,2592;836;31,415;30,335;0,73997;0,028456;0,013265;0,012756;1;run_1
12:36,8;49,9089;2,2548;861;31,418;30,338;0,80870;0,036709;0,015110;0,013896;1;run_1
12:36,8;49,9183;2,2900;882;31,422;30,340;0,69974;0,037936;0,010369;0,009523;1;run_1
12:36,8;49,9273;2,4199;908;31,426;30,343;0,87514;0,033042;0,009394;0,007681;1;run_1
12:36,8;49,9319;2,3708;929;31,429;30,346;0,86521;0,042171;0,013816;0,011003;1;run_1
12:36,8;49,8998;2,4162;951;31,433;30,350;0,87962;0,038232;0,014971;0,010778;1;run_1
12:36,8;49,9171;2,4710;971;31,437;30,353;0,89595;0,032289;0,013409;0,009888;1;run_1
12:36,8;49,9094;2,5029;992;31,441;30,356;0,95203;0,046766;0,014045;0,009532;1;run_1
12:36,8;49,9054;2,5637;1012;31,445;30,359;1,04457;0,048303;0,011153;0,008411;1;run_1
12:36,8;49,9129;2,6064;1030;31,449;30,363;1,02692;0,040745;0,000027;-0,000231;1;run_1
12:36,8;49,9074;2,7544;1051;31,454;30,366;1,06034;0,042673;-0,001103;-0,001938;1;run_1
12:36,9;49,8997;2,7463;1070;31,458;30,370;1,23809;0,055510;-0,008228;-0,007178;1;run_1
12:36,9;49,8965;2,7906;1088;31,462;30,373;1,20145;0,056301;-0,012839;-0,010354;1;run_1
12:36,9;49,8726;2,7842;1100;31,467;30,377;1,25327;0,053374;0,003908;0,002353;1;run_1
12:36,9;49,9013;2,7112;1119;31,471;30,380;1,18481;0,060392;0,010629;0,009455;1;run_1
12:36,9;49,8790;2,8711;1136;31,476;30,384;1,31355;0,065373;0,014466;0,011300;1;run_1
12:36,9;49,8909;2,8730;1153;31,480;30,388;1,39157;0,068095;0,011924;0,010044;1;run_1
12:36,9;49,8906;2,7986;1166;31,485;30,391;1,34860;0,058777;-0,013120;-0,009375;1;run_1
12:36,9;49,8876;2,7820;1185;31,489;30,395;1,42835;0,066963;-0,016436;-0,014910;1;run_1
12:36,9;49,8670;2,8904;1201;31,494;30,399;1,45890;0,061302;-0,012430;-0,009845;1;run_1
12:36,9;49,8961;2,9559;1214;31,498;30,402;1,51609;0,060411;0,012115;0,010143;1;run_1
12:37,0;49,8705;2,9476;1229;31,503;30,406;1,49354;0,064536;0,014986;0,012986;1;run_1
12:37,0;49,8760;3,0015;1242;31,508;30,410;1,51348;0,063530;-0,005568;-0,004673;1;run_1
12:37,0;49,8942;3,0947;1259;31,513;30,414;1,59891;0,074828;-0,016646;-0,013760;1;run_1
12:37,0;49,8804;3,0617;1266;31,517;30,418;1,56154;0,069682;0,017871;0,015240;1;run_1
