time_s,Test_ID,command_pct,rpm,thrust_n,torque_nm,shaft_power_w,voltage_v,current_a,electrical_power_w,motor_temp_c,esc_temp_c,vibration_x_g,vibration_y_g,vibration_z_g,airflow_mps,ambient_temp_c,operator_note
0.000000,0,0,0.88,0.0000,0.00737,0.00,50.288,1.089,54.79,22.001,22.001,0.003495,0.001867,0.000020,0.042,22.000,idle_or_transition
0.005000,0,0,0.00,0.0377,0.00000,0.00,50.308,1.053,52.96,22.002,22.002,0.003253,0.002420,0.001021,0.129,22.000,idle_or_transition
0.010000,0,0,1.76,0.0000,0.00528,0.00,50.278,1.191,59.88,22.003,22.002,0.001150,0.006237,-0.000606,0.051,22.000,idle_or_transition
0.015000,0,0,0.00,0.0621,0.00097,0.00,50.347,0.997,50.20,22.004,22.003,0.001607,0.000995,0.003753,0.000,22.000,idle_or_transition
0.020000,0,0,1.85,0.0000,0.00351,0.00,50.307,1.093,55.00,22.004,22.004,0.002007,0.004438,0.002183,0.000,22.000,idle_or_transition
0.025000,0,0,0.00,0.0239,0.00000,0.00,50.314,1.149,57.82,22.005,22.005,0.004611,0.000580,0.001162,0.064,22.000,idle_or_transition
0.030000,0,0,0.00,0.0905,0.00000,0.00,50.315,1.145,57.60,22.006,22.005,0.001949,0.000908,0.000226,0.032,22.000,idle_or_transition
0.035000,0,0,0.00,0.0400,0.00000,0.00,50.298,1.179,59.30,22.007,22.006,0.001112,0.005236,0.003253,0.100,22.001,idle_or_transition
0.040000,0,0,1.30,0.0000,0.00724,0.00,50.309,1.154,58.05,22.008,22.007,-0.000423,0.003025,0.003527,0.065,22.001,idle_or_transition
0.045000,0,0,2.76,0.0427,0.00000,0.00,50.304,1.180,59.37,22.009,22.008,0.003684,0.003162,-0.001035,0.000,22.001,idle_or_transition
0.050000,0,0,1.82,0.0683,0.00000,0.00,50.309,1.012,50.91,22.010,22.009,-0.001462,-0.000006,0.002456,0.011,22.001,idle_or_transition
0.055000,0,0,3.08,0.0467,0.00393,0.00,50.317,1.087,54.68,22.011,22.009,0.003326,0.005611,0.003858,0.000,22.001,idle_or_transition
0.060000,0,0,2.87,0.0000,0.00511,0.00,50.293,1.117,56.20,22.012,22.010,0.001937,0.002583,0.000089,0.026,22.001,idle_or_transition
0.065000,0,0,0.00,0.0064,0.00000,0.00,50.310,1.142,57.47,22.013,22.011,0.000296,0.006157,0.003423,0.000,22.001,idle_or_transition
0.070000,0,0,0.00,0.0000,0.00000,0.00,50.315,1.033,51.99,22.013,22.012,-0.000023,0.003129,0.003292,0.060,22.001,idle_or_transition
0.075000,0,0,1.42,0.0000,0.00294,0.00,50.291,1.127,56.70,22.014,22.012,-0.001056,0.003169,0.000217,0.000,22.001,idle_or_transition
0.080000,0,0,0.00,0.0000,0.00000,0.00,50.315,1.149,57.83,22.015,22.013,0.004058,0.003853,0.000174,0.000,22.001,idle_or_transition
0.085000,0,0,0.00,0.0543,0.00000,0.00,50.323,1.188,59.78,22.016,22.014,0.001115,0.004806,0.001760,0.030,22.001,idle_or_transition
0.090000,0,0,0.00,0.0000,0.00457,0.00,50.319,1.150,57.89,22.017,22.015,0.001940,0.001752,0.000637,0.116,22.001,idle_or_transition
0.095000,0,0,0.00,0.0000,0.00000,0.00,50.292,1.172,58.95,22.018,22.016,0.000299,0.002750,0.000993,0.000,22.002,idle_or_transition
0.100000,0,0,0.00,0.0000,0.00000,0.00,50.315,1.206,60.68,22.019,22.017,0.000650,0.002291,0.002264,0.000,22.002,idle_or_transition
0.105000,0,0,2.78,0.0107,0.00000,0.00,50.301,1.153,57.98,22.020,22.017,0.001639,0.004278,0.003126,0.000,22.002,idle_or_transition
0.110000,0,0,1.00,0.0244,0.00202,0.00,50.323,1.039,52.28,22.021,22.018,-0.000958,0.002386,0.002300,0.018,22.002,idle_or_transition
0.115000,0,0,0.46,0.0995,0.00428,0.00,50.321,1.123,56.49,22.022,22.019,0.001816,0.002713,0.002650,0.024,22.002,idle_or_transition
0.120000,0,0,0.00,0.1093,0.00483,0.00,50.327,1.123,56.50,22.023,22.020,0.001464,0.003624,0.002492,0.000,22.002,idle_or_transition
0.125000,0,0,7.76,0.0000,0.00000,0.00,50.301,1.084,54.52,22.023,22.020,0.003600,0.004454,0.002100,0.077,22.002,idle_or_transition
0.130000,0,0,0.19,0.0958,0.00428,0.00,50.272,1.315,66.10,22.025,22.021,-0.000688,0.002570,0.001380,0.000,22.002,idle_or_transition
0.135000,0,0,0.58,0.0000,0.00000,0.00,50.306,1.018,51.21,22.025,22.022,-0.000352,0.001702,0.002189,0.023,22.002,idle_or_transition
0.140000,0,0,0.17,0.0000,0.00000,0.00,50.286,1.144,57.52,22.026,22.023,0.002496,0.001633,0.002969,0.000,22.002,idle_or_transition
0.145000,0,0,0.00,0.0840,0.00000,0.00,50.317,1.101,55.38,22.027,22.024,0.001316,0.003113,0.001857,0.000,22.002,idle_or_transition
0.150000,0,0,0.00,0.0000,0.00000,0.00,50.292,1.134,57.01,22.028,22.024,-0.000290,0.005704,0.001087,0.000,22.002,idle_or_transition
0.155000,0,0,5.17,0.0000,0.00267,0.00,50.304,1.170,58.85,22.029,22.025,-0.000872,0.005316,0.001284,0.000,22.003,idle_or_transition
0.160000,0,0,8.40,0.0000,0.00272,0.00,50.309,1.113,55.99,22.030,22.026,0.004223,0.003568,0.000064,0.108,22.003,idle_or_transition
0.165000,0,0,0.51,0.0280,0.00079,0.00,50.293,1.108,55.74,22.031,22.027,-0.001755,0.007462,0.001522,0.000,22.003,idle_or_transition
0.170000,0,0,0.00,0.0000,0.00497,0.00,50.333,1.132,56.99,22.032,22.027,0.001080,0.001195,0.000263,0.057,22.003,idle_or_transition
0.175000,0,0,0.00,0.0053,0.00832,0.00,50.328,1.122,56.48,22.033,22.028,0.001323,0.002648,-0.000101,0.027,22.003,idle_or_transition
0.180000,0,0,0.00,0.0000,0.00278,0.00,50.328,1.246,62.73,22.034,22.029,0.001289,0.005607,0.002943,0.074,22.003,idle_or_transition
